make,model,year,mileage,price,color,state,date
Toyota,Cruze,2015,68976,11070,blue,FL,2023-11-13 23:02:01.648728
Chevrolet,Camry,2017,83164,23195,blue,FL,2023-09-28 23:02:01.648729
Nissan,Fusion,2015,57771,49190,white,CA,2023-11-09 23:02:01.648731
Toyota,Camry,2014,25765,16753,red,TX,2023-10-29 23:02:01.648733
Toyota,Camry,2018,84039,30971,silver,IL,2023-03-09 23:02:01.648735
Nissan,Camry,2015,82227,10477,white,CA,2024-01-17 23:02:01.648737
Toyota,Fusion,2017,84759,49041,black,NY,2023-12-05 23:02:01.648738
Nissan,Camry,2012,45104,38794,white,TX,2024-01-27 23:02:01.648740
Chevrolet,Camry,2013,74516,43708,black,IL,2023-09-09 23:02:01.648742
Nissan,Altima,2015,13593,47805,black,TX,2023-02-22 23:02:01.648743
Honda,Fusion,2018,72574,10032,blue,NY,2023-12-15 23:02:01.648745
Chevrolet,Cruze,2012,43151,12897,white,FL,2023-08-09 23:02:01.648746
Nissan,Camry,2015,85056,38407,white,NY,2023-04-11 23:02:01.648748
Toyota,Cruze,2012,73565,35993,white,CA,2023-08-04 23:02:01.648749
Chevrolet,Fusion,2017,14492,37890,red,TX,2023-05-24 23:02:01.648751
Nissan,Fusion,2015,38358,46434,white,TX,2023-06-07 23:02:01.648752
Toyota,Cruze,2018,55906,27032,red,TX,2023-07-14 23:02:01.648754
Toyota,Accord,2016,78195,20105,white,CA,2023-06-23 23:02:01.648756
Ford,Camry,2014,79015,24020,blue,CA,2023-08-17 23:02:01.648757
Chevrolet,Fusion,2015,10338,46394,white,NY,2023-07-11 23:02:01.648759
Nissan,Cruze,2013,58006,26557,silver,TX,2023-07-09 23:02:01.648761
Honda,Accord,2011,51305,27601,red,FL,2023-07-11 23:02:01.648762
Chevrolet,Fusion,2015,77641,31940,silver,CA,2023-05-23 23:02:01.648764
Ford,Cruze,2011,22766,29061,red,FL,2023-07-11 23:02:01.648765
Toyota,Accord,2010,59813,17062,blue,TX,2023-05-05 23:02:01.648767
Toyota,Accord,2014,17610,22362,white,FL,2023-06-04 23:02:01.648768
Honda,Altima,2017,74772,48787,white,NY,2023-07-01 23:02:01.648770
Nissan,Altima,2017,24050,30188,blue,TX,2023-04-13 23:02:01.648771
Chevrolet,Accord,2014,47978,20689,red,FL,2023-09-12 23:02:01.648773
Honda,Cruze,2015,63494,30652,white,FL,2023-12-18 23:02:01.648774
Honda,Cruze,2014,70439,48293,white,NY,2023-04-07 23:02:01.648776
Nissan,Fusion,2010,11982,37310,silver,NY,2023-10-20 23:02:01.648778
Nissan,Cruze,2018,40918,33264,blue,TX,2023-03-11 23:02:01.648779
Nissan,Cruze,2018,18472,39237,black,CA,2024-01-26 23:02:01.648781
Chevrolet,Altima,2016,81214,34270,black,TX,2023-07-13 23:02:01.648783
Nissan,Camry,2018,42181,19643,silver,TX,2024-02-04 23:02:01.648784
Toyota,Cruze,2010,65413,37760,red,TX,2024-01-30 23:02:01.648786
Toyota,Camry,2016,59216,48353,blue,TX,2024-01-25 23:02:01.648788
Chevrolet,Fusion,2017,51955,25884,white,IL,2023-06-24 23:02:01.648789
Honda,Camry,2012,49823,25509,black,NY,2024-01-05 23:02:01.648791
Ford,Cruze,2011,89164,18593,blue,CA,2023-03-04 23:02:01.648793
Ford,Altima,2012,17547,47126,silver,CA,2024-02-11 23:02:01.648794
Toyota,Altima,2017,42031,27236,blue,NY,2023-10-24 23:02:01.648796
Nissan,Fusion,2011,52880,17117,white,CA,2023-07-04 23:02:01.648797
Honda,Accord,2013,77826,36482,blue,NY,2023-12-05 23:02:01.648799
Chevrolet,Fusion,2011,94457,22210,white,TX,2023-09-13 23:02:01.648800
Toyota,Altima,2018,72348,12722,red,FL,2024-01-11 23:02:01.648802
Ford,Altima,2011,55029,40237,red,FL,2024-01-27 23:02:01.648804
Honda,Altima,2013,52329,41088,silver,TX,2023-05-22 23:02:01.648806
Toyota,Cruze,2017,34432,35864,silver,IL,2023-04-07 23:02:01.648807
Ford,Altima,2013,58884,46446,red,NY,2024-01-21 23:02:01.648809
Nissan,Camry,2016,54426,31780,red,IL,2023-03-07 23:02:01.648810
Chevrolet,Altima,2017,33598,29734,silver,CA,2023-04-03 23:02:01.648812
Honda,Accord,2017,66330,27324,red,FL,2023-11-17 23:02:01.648814
Ford,Fusion,2012,63400,44163,white,TX,2023-04-09 23:02:01.648816
Toyota,Fusion,2013,63749,14998,blue,CA,2023-12-01 23:02:01.648817
Nissan,Altima,2018,96846,22390,black,FL,2023-09-05 23:02:01.648819
Toyota,Camry,2014,17515,31659,blue,FL,2023-09-06 23:02:01.648821
Toyota,Camry,2014,12039,45041,black,TX,2023-05-28 23:02:01.648822
Honda,Camry,2015,20789,45564,silver,FL,2023-05-20 23:02:01.648824
Nissan,Camry,2016,15389,25824,white,IL,2023-06-01 23:02:01.648825
Chevrolet,Accord,2016,75296,46715,red,CA,2024-02-10 23:02:01.648827
Chevrolet,Accord,2014,93298,16196,white,IL,2023-08-17 23:02:01.648828
Ford,Accord,2014,24470,30887,black,NY,2024-02-01 23:02:01.648838
Honda,Fusion,2010,59729,38162,black,NY,2023-09-01 23:02:01.648840
Toyota,Accord,2013,28012,19212,white,NY,2023-04-07 23:02:01.648842
Chevrolet,Altima,2016,53028,42945,blue,TX,2023-06-11 23:02:01.648843
Honda,Altima,2011,66092,40552,silver,TX,2023-11-28 23:02:01.648845
Ford,Fusion,2015,36358,40823,blue,NY,2023-10-18 23:02:01.648847
Honda,Fusion,2014,51983,22739,red,CA,2023-03-02 23:02:01.648848
Ford,Altima,2015,40289,15493,blue,CA,2023-07-06 23:02:01.648850
Ford,Accord,2014,91900,32512,red,FL,2023-08-26 23:02:01.648851
Chevrolet,Fusion,2010,75831,38346,silver,FL,2023-10-23 23:02:01.648853
Ford,Altima,2018,63851,18351,red,IL,2024-02-06 23:02:01.648854
Toyota,Fusion,2011,18160,20903,blue,CA,2023-03-07 23:02:01.648856
Toyota,Camry,2011,81065,40197,blue,NY,2023-10-08 23:02:01.648858
Honda,Accord,2010,69035,10908,blue,FL,2023-10-16 23:02:01.648859
Nissan,Altima,2012,17511,49787,black,NY,2023-12-15 23:02:01.648861
Honda,Cruze,2015,84211,32808,red,IL,2023-07-23 23:02:01.648863
Honda,Camry,2013,43259,11786,red,FL,2023-08-24 23:02:01.648864
Nissan,Accord,2011,15912,38450,blue,FL,2023-08-02 23:02:01.648866
Nissan,Fusion,2016,35656,15820,black,CA,2023-09-30 23:02:01.648867
Toyota,Cruze,2013,34051,28243,black,IL,2024-01-21 23:02:01.648869
Honda,Cruze,2018,14870,30989,black,TX,2023-08-12 23:02:01.648871
Toyota,Accord,2010,28682,12481,black,CA,2023-11-17 23:02:01.648872
Toyota,Cruze,2017,94883,20183,red,NY,2023-05-23 23:02:01.648874
Toyota,Fusion,2014,70067,46444,blue,CA,2023-11-28 23:02:01.648875
Honda,Fusion,2014,44794,10135,white,NY,2024-01-07 23:02:01.648877
Nissan,Fusion,2015,76579,31080,blue,CA,2023-07-15 23:02:01.648879
Chevrolet,Accord,2010,26605,46265,black,CA,2023-06-19 23:02:01.648881
Chevrolet,Cruze,2010,31887,15790,white,CA,2023-06-22 23:02:01.648882
Chevrolet,Cruze,2015,67158,12972,black,CA,2023-04-06 23:02:01.648884
Chevrolet,Accord,2012,38744,10635,black,CA,2023-05-05 23:02:01.648886
Toyota,Camry,2012,54148,33137,red,CA,2023-03-04 23:02:01.648887
Honda,Cruze,2014,97116,20256,black,NY,2023-04-28 23:02:01.648889
Ford,Camry,2017,49078,41125,silver,IL,2023-08-03 23:02:01.648891
Toyota,Altima,2018,65052,17325,white,NY,2023-09-06 23:02:01.648892
Honda,Cruze,2014,99093,32592,white,IL,2023-03-12 23:02:01.648894
Chevrolet,Fusion,2014,82253,39274,red,FL,2023-07-27 23:02:01.648896
Nissan,Altima,2017,42568,43324,black,TX,2023-02-26 23:02:01.648897
Honda,Fusion,2014,81328,49920,red,CA,2023-04-15 23:02:01.648899
Nissan,Cruze,2010,16407,46581,silver,NY,2023-04-02 23:02:01.648901
Ford,Fusion,2014,14184,13957,blue,CA,2023-07-07 23:02:01.648902
Ford,Accord,2016,71204,35277,white,NY,2023-12-27 23:02:01.648904
Honda,Camry,2015,18206,49971,silver,CA,2023-10-09 23:02:01.648905
Nissan,Accord,2018,81487,24536,blue,IL,2023-05-21 23:02:01.648907
Ford,Cruze,2017,68806,49907,silver,CA,2023-04-04 23:02:01.648909
Toyota,Cruze,2014,77396,34897,white,FL,2023-04-16 23:02:01.648910
Chevrolet,Fusion,2017,99521,15731,silver,TX,2024-01-29 23:02:01.648912
Chevrolet,Accord,2012,76301,33780,red,FL,2023-11-05 23:02:01.648914
Ford,Altima,2013,42084,24658,red,IL,2023-09-07 23:02:01.648915
Ford,Altima,2017,87566,40385,silver,NY,2023-03-10 23:02:01.648917
Toyota,Altima,2014,91489,32079,blue,NY,2023-10-09 23:02:01.648918
Nissan,Altima,2016,67334,12486,blue,CA,2023-10-21 23:02:01.648920
Honda,Fusion,2013,22030,45530,white,IL,2024-02-01 23:02:01.648922
Chevrolet,Accord,2015,20853,29465,red,FL,2023-11-02 23:02:01.648923
Toyota,Fusion,2017,60814,18831,red,FL,2023-10-18 23:02:01.648925
Ford,Accord,2017,13043,41413,white,NY,2024-01-27 23:02:01.648926
Chevrolet,Accord,2011,57496,33795,white,IL,2023-10-25 23:02:01.648928
Chevrolet,Camry,2016,85237,11760,silver,IL,2023-08-27 23:02:01.648930
Toyota,Accord,2014,71700,30899,blue,TX,2023-06-23 23:02:01.648932
Ford,Fusion,2013,35849,36146,red,IL,2024-01-05 23:02:01.648933
Nissan,Cruze,2017,43372,17555,black,IL,2023-08-25 23:02:01.648935
Honda,Camry,2014,99415,38072,red,IL,2023-10-19 23:02:01.648936
Nissan,Cruze,2013,84500,40181,black,CA,2023-07-05 23:02:01.648938
Nissan,Altima,2013,69413,38136,silver,TX,2023-09-27 23:02:01.648939
Chevrolet,Altima,2014,68376,37334,red,CA,2023-06-04 23:02:01.648941
Toyota,Camry,2017,15737,11435,white,NY,2023-06-04 23:02:01.648943
Nissan,Camry,2018,32892,41914,silver,NY,2023-02-27 23:02:01.648944
Honda,Camry,2013,44379,36515,red,NY,2023-09-16 23:02:01.648946
Nissan,Altima,2016,71025,27368,blue,FL,2023-05-21 23:02:01.648947
Nissan,Altima,2011,73536,44486,red,FL,2023-11-21 23:02:01.648949
Honda,Fusion,2015,16957,37880,blue,NY,2023-07-07 23:02:01.648950
Honda,Accord,2013,37644,10692,black,FL,2023-11-28 23:02:01.648952
Ford,Accord,2018,96879,47473,silver,TX,2023-09-09 23:02:01.648954
Chevrolet,Fusion,2013,34137,10529,blue,NY,2023-07-22 23:02:01.648955
Toyota,Altima,2017,45588,16357,red,CA,2023-07-23 23:02:01.648957
Chevrolet,Accord,2015,23314,36571,silver,NY,2023-08-17 23:02:01.648958
Ford,Fusion,2014,46403,38710,white,TX,2023-05-23 23:02:01.648960
Ford,Altima,2015,75443,26895,white,FL,2023-10-28 23:02:01.648962
Toyota,Camry,2014,86860,17323,silver,FL,2023-09-06 23:02:01.648963
Chevrolet,Accord,2010,89400,33644,blue,FL,2024-02-06 23:02:01.648965
Chevrolet,Fusion,2017,64879,43126,silver,CA,2023-09-24 23:02:01.648967
Honda,Cruze,2014,37873,46229,white,FL,2023-04-12 23:02:01.648968
Nissan,Camry,2013,14718,27729,blue,FL,2023-06-04 23:02:01.648970
Toyota,Accord,2015,78651,34246,black,IL,2023-07-22 23:02:01.648972
Nissan,Accord,2016,57259,22826,red,CA,2023-03-14 23:02:01.648973
Nissan,Cruze,2012,57955,41278,blue,IL,2023-08-20 23:02:01.648975
Honda,Cruze,2011,90097,10796,black,TX,2024-01-28 23:02:01.648976
Toyota,Accord,2012,73387,27021,white,TX,2023-05-11 23:02:01.648978
Ford,Altima,2010,57712,40595,white,NY,2023-04-03 23:02:01.648980
Toyota,Accord,2012,63127,23615,red,IL,2023-03-06 23:02:01.648981
Chevrolet,Camry,2017,96608,16855,red,NY,2023-06-28 23:02:01.648983
Ford,Altima,2017,48626,17012,blue,TX,2023-10-24 23:02:01.648984
Nissan,Camry,2014,92009,44695,white,IL,2023-03-16 23:02:01.648986
Chevrolet,Cruze,2014,91902,42524,black,NY,2023-11-08 23:02:01.648988
Honda,Accord,2012,53192,44222,red,TX,2023-06-08 23:02:01.648989
Ford,Cruze,2013,83531,36058,red,FL,2023-06-21 23:02:01.648991
Nissan,Cruze,2015,52492,31701,white,TX,2023-05-23 23:02:01.648992
Nissan,Accord,2012,29329,25319,white,CA,2023-10-14 23:02:01.648994
Nissan,Cruze,2010,14612,41832,blue,IL,2023-05-21 23:02:01.648996
Nissan,Cruze,2017,42281,38804,black,FL,2023-09-13 23:02:01.648997
Toyota,Fusion,2017,40878,45041,red,NY,2023-12-13 23:02:01.648998
Toyota,Altima,2013,35962,21950,red,CA,2023-04-17 23:02:01.649000
Chevrolet,Cruze,2012,27076,13663,silver,CA,2023-06-13 23:02:01.649002
Toyota,Cruze,2015,13455,10022,silver,IL,2023-03-13 23:02:01.649003
Nissan,Accord,2013,79645,27302,white,IL,2023-03-17 23:02:01.649005
Ford,Fusion,2017,45278,37901,red,NY,2023-03-01 23:02:01.649007
Nissan,Altima,2011,49996,39766,red,FL,2023-10-23 23:02:01.649008
Ford,Camry,2015,56036,41239,red,CA,2023-11-20 23:02:01.649010
Chevrolet,Camry,2011,44403,32807,black,TX,2023-07-01 23:02:01.649011
Nissan,Fusion,2013,87512,45667,white,FL,2023-12-17 23:02:01.649013
Honda,Cruze,2017,58173,36523,white,CA,2023-03-26 23:02:01.649015
Chevrolet,Cruze,2015,44669,31552,blue,IL,2024-02-12 23:02:01.649016
Toyota,Cruze,2012,13828,23405,blue,CA,2023-12-19 23:02:01.649018
Toyota,Accord,2015,45721,31110,white,FL,2023-07-09 23:02:01.649020
Chevrolet,Altima,2014,77003,39335,red,FL,2023-06-09 23:02:01.649021
Nissan,Camry,2012,34280,48619,red,CA,2023-07-14 23:02:01.649023
Honda,Accord,2016,81176,24038,white,IL,2023-09-16 23:02:01.649025
